陕西电信-组播1,#genre#
彬洲,http://36.46.98.59:8025/rtp/239.112.205.181:5140
影迷电影,http://36.46.98.59:8025/rtp/239.109.205.97:8712
扶风,http://36.46.98.59:8025/rtp/239.111.205.80:5140
曲艺大观,http://36.46.98.59:8025/rtp/239.111.205.31:5140
杨凌[785*576],http://36.46.98.59:8025/rtp/239.111.205.253:5140
洋县电视台,http://36.46.98.59:8025/rtp/239.111.205.77:5140
淳化频道,http://36.46.98.59:8025/rtp/239.111.205.97:5140
潼关综合[720*576],http://36.46.98.59:8025/rtp/239.111.205.12:5140
澄城新闻,http://36.46.98.59:8025/rtp/239.109.205.76:8544
澄城新闻,http://36.46.98.59:8025/rtp/239.112.205.191:5140
留坝,http://36.46.98.59:8025/rtp/239.110.205.54:9942
留坝,http://36.46.98.59:8025/rtp/239.112.205.240:5140
略阳,http://36.46.98.59:8025/rtp/239.110.205.50:9926
略阳,http://36.46.98.59:8025/rtp/239.112.205.235:5140
白水,http://36.46.98.59:8025/rtp/239.109.205.87:8632
白水频道,http://36.46.98.59:8025/rtp/239.112.205.219:5140
百事直播,http://36.46.98.59:8025/rtp/239.111.205.20:5140
百事直播,http://36.46.98.59:8025/rtp/239.111.205.21:5140
百事直播,http://36.46.98.59:8025/rtp/239.111.205.22:5140
百事直播,http://36.46.98.59:8025/rtp/239.111.205.25:5140
百事直播,http://36.46.98.59:8025/rtp/239.111.205.43:5140
直播室101,http://36.46.98.59:8025/rtp/239.109.205.170:9612
直播室102,http://36.46.98.59:8025/rtp/239.109.205.171:9614
直播室103,http://36.46.98.59:8025/rtp/239.109.205.172:9616
直播室104,http://36.46.98.59:8025/rtp/239.109.205.173:9618
直播室105,http://36.46.98.59:8025/rtp/239.109.205.174:9620
直播室105,http://36.46.98.59:8025/rtp/239.111.205.24:5140
