山东电信-组播1,#genre#
济南鲁中,http://123.168.94.252:4000/rtp/239.21.1.149:5002
济宁公共,http://123.168.94.252:4000/rtp/239.21.2.20:5002
济宁生活,http://123.168.94.252:4000/rtp/239.21.1.139:5002
济宁综合频道,http://123.168.94.252:4000/rtp/239.21.2.19:5002
淄博影视频道,http://123.168.94.252:4000/rtp/239.21.1.182:5002
淄博新闻综合,http://123.168.94.252:4000/rtp/239.21.1.84:5002
淄博生活,http://123.168.94.252:4000/rtp/239.21.1.109:5002
淄博都市,http://123.168.94.252:4000/rtp/239.21.1.83:5002
滨州公共,http://123.168.94.252:4000/rtp/239.21.1.119:5002
滨州新闻,http://123.168.94.252:4000/rtp/239.21.1.118:5002
滨州综合频道,http://123.168.94.252:4000/rtp/239.21.1.238:5002
潍坊寿光新闻,http://123.168.94.252:4000/rtp/239.21.1.180:5002
潍坊新闻综合,http://123.168.94.252:4000/rtp/239.21.1.77:5002
潍坊经济生活,http://123.168.94.252:4000/rtp/239.21.1.78:5002
烟台公共,http://123.168.94.252:4000/rtp/239.21.1.117:5002
烟台影视频道,http://123.168.94.252:4000/rtp/239.21.1.204:5002
烟台新闻综合,http://123.168.94.252:4000/rtp/239.21.1.116:5002
烟台经济科技,http://123.168.94.252:4000/rtp/239.21.1.205:5002
聊城民生频道,http://123.168.94.252:4000/rtp/239.21.1.254:5002
聊城综合频道,http://123.168.94.252:4000/rtp/239.21.1.253:5002
菏泽1,http://123.168.94.252:4000/rtp/239.21.1.103:5002
菏泽2,http://123.168.94.252:4000/rtp/239.21.2.18:5002
青岛1,http://123.168.94.252:4000/rtp/239.21.1.69:5002
青岛2,http://123.168.94.252:4000/rtp/239.21.1.70:5002
青岛3,http://123.168.94.252:4000/rtp/239.21.1.71:5002
青岛4,http://123.168.94.252:4000/rtp/239.21.1.72:5002
青岛6,http://123.168.94.252:4000/rtp/239.21.1.74:5002
青岛综合,http://123.168.94.252:4000/rtp/239.21.2.57:5002

26号[768*576],http://123.168.94.252:4000/rtp/239.21.2.26:5002
52号[1920*1080],http://123.168.94.252:4000/rtp/239.21.2.52:5002
53号[1920*1080],http://123.168.94.252:4000/rtp/239.21.2.53:5002
56号[1920*1080],http://123.168.94.252:4000/rtp/239.21.2.56:5002
58号[1920*1080],http://123.168.94.252:4000/rtp/239.21.2.58:5002
59号[1920*1080],http://123.168.94.252:4000/rtp/239.21.2.59:5002
60号[1920*1080],http://123.168.94.252:4000/rtp/239.21.2.60:5002
61号[1920*1080],http://123.168.94.252:4000/rtp/239.21.2.61:5002
62号[1920*1080],http://123.168.94.252:4000/rtp/239.21.2.62:5002
