四川电信-组播1,#genre#
bestv,http://171.88.107.244:8118/udp/239.94.2.57:5140
i乐山高清,http://171.88.107.244:8118/udp/239.94.2.2:5140
i成都,http://171.88.107.244:8118/udp/239.93.1.104:1234
i成都高清,http://171.88.107.244:8118/udp/239.94.2.1:5140
中录动漫4K,http://171.88.107.244:8118/udp/239.93.1.188:5140
乐龄学堂,http://171.88.107.244:8118/udp/239.93.1.179:5140
乐龄学堂专区,http://171.88.107.244:8118/udp/239.94.1.155:5140
云看熊猫专区,http://171.88.107.244:8118/udp/239.94.1.7:5140
亲子趣学4K,http://171.88.107.244:8118/udp/239.93.1.191:5140
亲子趣学4k专区,http://171.88.107.244:8118/udp/239.94.1.156:5140
健康养生专区,http://171.88.107.244:8118/udp/239.94.1.27:5140
全球大片专区,http://171.88.107.244:8118/udp/239.94.1.24:5140
军事高清专区,http://171.88.107.244:8118/udp/239.94.1.52:5140
华语影院专区,http://171.88.107.244:8118/udp/239.94.1.22:5140
地理高清专区,http://171.88.107.244:8118/udp/239.94.1.54:5140
墨宝高清专区,http://171.88.107.244:8118/udp/239.94.1.51:5140
大爱四川,http://171.88.107.244:8118/udp/239.93.1.110:5140
大爱四川高清专区,http://171.88.107.244:8118/udp/239.94.1.12:5140
大爱旅游,http://171.88.107.244:8118/udp/239.93.42.70:5140
大爱时尚,http://171.88.107.244:8118/udp/239.93.42.72:5140
大爱生活,http://171.88.107.244:8118/udp/239.93.42.71:5140
宝宝动画专区,http://171.88.107.244:8118/udp/239.94.1.32:5140
导视专区,http://171.88.107.244:8118/udp/239.94.1.55:5140
少儿动画高清专区,http://171.88.107.244:8118/udp/239.94.1.33:5140
少儿天地,http://171.88.107.244:8118/udp/239.93.42.34:5140
少儿天地专区,http://171.88.107.244:8118/udp/239.94.1.138:5140
峨眉电影,http://171.88.107.244:8118/udp/239.94.2.209:5140
峨眉电影高清,http://171.88.107.244:8118/udp/239.94.0.103:5140
戏曲专区高清,http://171.88.107.244:8118/udp/239.94.1.38:5140
戏曲精选专区高清,http://171.88.107.244:8118/udp/239.94.1.37:5140
收视导视,http://171.88.107.244:8118/udp/239.93.1.39:5140
收视指南专区,http://171.88.107.244:8118/udp/239.94.1.56:5140
星光院线专区,http://171.88.107.244:8118/udp/239.94.1.23:5140
来钓鱼吧,http://171.88.107.244:8118/udp/239.93.42.8:5140
来钓鱼吧专区,http://171.88.107.244:8118/udp/239.94.1.148:5140
梨园频道,http://171.88.107.244:8118/udp/239.94.1.16:5140
求索频道,http://171.88.107.244:8118/udp/239.93.42.24:5140
求索频道高清,http://171.88.107.244:8118/udp/239.94.1.142:5140
炫动卡通,http://171.88.107.244:8118/udp/239.94.1.9:5140
热播剧场专区,http://171.88.107.244:8118/udp/239.94.1.25:5140
热门剧场专区,http://171.88.107.244:8118/udp/239.94.1.26:5140
热门综艺高清专区,http://171.88.107.244:8118/udp/239.94.1.35:5140
熊猫24小时,http://171.88.107.244:8118/udp/239.93.1.178:5140
熊猫体娱,http://171.88.107.244:8118/udp/239.93.0.94:5140
熊猫体娱高清专区,http://171.88.107.244:8118/udp/239.94.1.4:5140
熊猫卡通,http://171.88.107.244:8118/udp/239.93.1.172:5140
熊猫少儿,http://171.88.107.244:8118/udp/239.93.1.189:5140
熊猫少儿高清专区,http://171.88.107.244:8118/udp/239.94.1.5:5140
熊猫影院,http://171.88.107.244:8118/udp/239.93.0.214:5140
熊猫影院专区,http://171.88.107.244:8118/udp/239.94.1.6:5140
熊猫新闻高清专区,http://171.88.107.244:8118/udp/239.94.1.3:5140
熊猫爱生活,http://171.88.107.244:8118/udp/239.93.1.190:5140
熊猫爱生活高清专区,http://171.88.107.244:8118/udp/239.94.1.11:5140
熊猫频道,http://171.88.107.244:8118/udp/239.93.0.211:9148
电竞天堂高清专区,http://171.88.107.244:8118/udp/239.94.1.45:5140
百变课堂专区,http://171.88.107.244:8118/udp/239.94.1.43:5140
百视通全球大片,http://171.88.107.244:8118/udp/239.93.0.105:5140
百视通华语影院,http://171.88.107.244:8118/udp/239.93.0.138:5140
百视通宝宝动画,http://171.88.107.244:8118/udp/239.93.0.147:5140
百视通戏曲精选,http://171.88.107.244:8118/udp/239.93.0.144:5140
百视通星光院线,http://171.88.107.244:8118/udp/239.93.0.139:5140
百视通热门剧场,http://171.88.107.244:8118/udp/239.93.0.140:5140
百视通热门综艺,http://171.88.107.244:8118/udp/239.93.0.151:5140
百视通电竞天堂,http://171.88.107.244:8118/udp/239.93.1.135:5140
百视通谍战剧场,http://171.88.107.244:8118/udp/239.93.0.95:5140
百视通青春动漫,http://171.88.107.244:8118/udp/239.93.0.146:5140
直播室1,http://171.88.107.244:8118/udp/239.94.2.11:5140
直播室2,http://171.88.107.244:8118/udp/239.94.2.12:5140
直播室3,http://171.88.107.244:8118/udp/239.94.2.13:5140
直播室4,http://171.88.107.244:8118/udp/239.94.2.14:5140
直播室5,http://171.88.107.244:8118/udp/239.94.2.15:5140
直播室6,http://171.88.107.244:8118/udp/239.94.2.16:5140
直播室7,http://171.88.107.244:8118/udp/239.94.2.17:5140
直播室8,http://171.88.107.244:8118/udp/239.94.2.18:5140
看天下精选,http://171.88.107.244:8118/udp/239.94.1.68:5140
睛彩学堂HD,http://171.88.107.244:8118/rtp/239.93.4.216:8868
精彩导视,http://171.88.107.244:8118/udp/239.94.1.63:5140
精彩推荐专区,http://171.88.107.244:8118/udp/239.94.2.10:5140
红色影院专区,http://171.88.107.244:8118/udp/239.94.1.48:5140
红色经典,http://171.88.107.244:8118/udp/239.93.1.176:5140
经典剧场专区,http://171.88.107.244:8118/udp/239.94.1.49:5140
经典电影专区,http://171.88.107.244:8118/udp/239.94.1.21:5140
绚影4K,http://171.88.107.244:8118/udp/239.93.42.33:5140
绚影4K专区,http://171.88.107.244:8118/udp/239.94.1.150:5140
综艺咖秀,http://171.88.107.244:8118/udp/239.94.2.28:5140
综艺咖秀,http://171.88.107.244:8118/udp/239.94.2.27:5140
蓉城先锋,http://171.88.107.244:8118/udp/239.93.0.91:2101
蓉城先锋专区,http://171.88.107.244:8118/udp/239.94.1.57:5140
解密高清专区,http://171.88.107.244:8118/udp/239.94.1.53:5140
谍战剧场高清专区,http://171.88.107.244:8118/udp/239.94.1.28:5140
足球高清专区,http://171.88.107.244:8118/udp/239.94.1.47:5140
金熊猫卡通高清专区,http://171.88.107.244:8118/udp/239.94.1.8:5140
青春动漫高清专区,http://171.88.107.244:8118/udp/239.94.1.34:5140
音乐现场高清专区,http://171.88.107.244:8118/udp/239.94.1.36:5140
