# 补充IP列表 - 原文件: 新疆电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 238.125.0.x =====
# 已有IP: 113 个, 缺失IP: 141 个
# 规律: 固定端口 5140

2-106,rtp://238.125.2.106:5140
2-107,rtp://238.125.2.107:5140
2-108,rtp://238.125.2.108:5140
2-109,rtp://238.125.2.109:5140
2-110,rtp://238.125.2.110:5140
2-111,rtp://238.125.2.111:5140
2-112,rtp://238.125.2.112:5140
2-113,rtp://238.125.2.113:5140
2-114,rtp://238.125.2.114:5140
2-115,rtp://238.125.2.115:5140
2-116,rtp://238.125.2.116:5140
2-117,rtp://238.125.2.117:5140
2-118,rtp://238.125.2.118:5140
2-119,rtp://238.125.2.119:5140
2-120,rtp://238.125.2.120:5140
2-121,rtp://238.125.2.121:5140
2-122,rtp://238.125.2.122:5140
2-123,rtp://238.125.2.123:5140
2-124,rtp://238.125.2.124:5140
2-125,rtp://238.125.2.125:5140
2-126,rtp://238.125.2.126:5140
2-127,rtp://238.125.2.127:5140
2-128,rtp://238.125.2.128:5140
2-129,rtp://238.125.2.129:5140
2-130,rtp://238.125.2.130:5140
2-131,rtp://238.125.2.131:5140
2-132,rtp://238.125.2.132:5140
2-133,rtp://238.125.2.133:5140
2-134,rtp://238.125.2.134:5140
2-135,rtp://238.125.2.135:5140
2-136,rtp://238.125.2.136:5140
2-137,rtp://238.125.2.137:5140
2-138,rtp://238.125.2.138:5140
2-150,rtp://238.125.2.150:5140
2-151,rtp://238.125.2.151:5140
2-152,rtp://238.125.2.152:5140
2-153,rtp://238.125.2.153:5140
2-171,rtp://238.125.2.171:5140
2-190,rtp://238.125.2.190:5140
2-200,rtp://238.125.2.200:5140
2-203,rtp://238.125.2.203:5140
2-208,rtp://238.125.2.208:5140
2-226,rtp://238.125.2.226:5140
2-227,rtp://238.125.2.227:5140
2-230,rtp://238.125.2.230:5140
2-231,rtp://238.125.2.231:5140
2-232,rtp://238.125.2.232:5140
2-233,rtp://238.125.2.233:5140
2-240,rtp://238.125.2.240:5140

# ===== 网段: 238.125.3.x =====
# 已有IP: 178 个, 缺失IP: 76 个
# 规律: 固定端口 5140

3-1,rtp://238.125.3.1:5140
3-2,rtp://238.125.3.2:5140
3-3,rtp://238.125.3.3:5140
3-4,rtp://238.125.3.4:5140
3-5,rtp://238.125.3.5:5140
3-8,rtp://238.125.3.8:5140
3-11,rtp://238.125.3.11:5140
3-15,rtp://238.125.3.15:5140
3-33,rtp://238.125.3.33:5140
3-41,rtp://238.125.3.41:5140
3-42,rtp://238.125.3.42:5140
3-44,rtp://238.125.3.44:5140
3-47,rtp://238.125.3.47:5140
3-53,rtp://238.125.3.53:5140
3-56,rtp://238.125.3.56:5140
3-57,rtp://238.125.3.57:5140
3-58,rtp://238.125.3.58:5140
3-70,rtp://238.125.3.70:5140
3-71,rtp://238.125.3.71:5140
3-72,rtp://238.125.3.72:5140
3-73,rtp://238.125.3.73:5140
3-74,rtp://238.125.3.74:5140
3-75,rtp://238.125.3.75:5140
3-76,rtp://238.125.3.76:5140
3-89,rtp://238.125.3.89:5140
3-90,rtp://238.125.3.90:5140
3-95,rtp://238.125.3.95:5140
3-96,rtp://238.125.3.96:5140
3-97,rtp://238.125.3.97:5140
3-98,rtp://238.125.3.98:5140
3-104,rtp://238.125.3.104:5140
3-110,rtp://238.125.3.110:5140
3-112,rtp://238.125.3.112:5140
3-113,rtp://238.125.3.113:5140
3-116,rtp://238.125.3.116:5140
3-123,rtp://238.125.3.123:5140
3-125,rtp://238.125.3.125:5140
3-129,rtp://238.125.3.129:5140
3-132,rtp://238.125.3.132:5140
3-133,rtp://238.125.3.133:5140
3-147,rtp://238.125.3.147:5140
3-154,rtp://238.125.3.154:5140
3-155,rtp://238.125.3.155:5140
3-156,rtp://238.125.3.156:5140
3-163,rtp://238.125.3.163:5140
3-172,rtp://238.125.3.172:5140
3-191,rtp://238.125.3.191:5140
3-197,rtp://238.125.3.197:5140
3-198,rtp://238.125.3.198:5140
3-199,rtp://238.125.3.199:5140
3-200,rtp://238.125.3.200:5140
