河北电信-组播1,#genre#
唐山生活服务,http://111.226.211.224:8188/rtp/239.254.200.167:6000
秦皇岛公共频道,http://111.226.211.224:8188/rtp/239.254.200.40:6000
秦皇岛新闻综合,http://111.226.211.224:8188/rtp/239.254.200.39:6000
邯郸公共频道,http://111.226.211.224:8188/rtp/239.254.200.154:6000
邯郸新闻综合,http://111.226.211.224:8188/rtp/239.254.200.153:6000
邯郸科技教育,http://111.226.211.224:8188/rtp/239.254.200.155:6000
邢台城市生活,http://111.226.211.224:8188/rtp/239.254.200.152:6000
邢台综合频道,http://111.226.211.224:8188/rtp/239.254.200.150:6000
保定公共频道,http://111.226.211.224:8188/rtp/239.254.200.145:6000
保定新闻综合,http://111.226.211.224:8188/rtp/239.254.200.144:6000
保定生活健康,http://111.226.211.224:8188/rtp/239.254.200.146:6000
张家口公共,http://111.226.211.224:8188/rtp/239.254.200.36:6000
张家口新闻综合,http://111.226.211.224:8188/rtp/239.254.200.35:6000
承德新闻综合,http://111.226.211.224:8188/rtp/239.254.200.32:6000
承德旅游文化,http://111.226.211.224:8188/rtp/239.254.200.33:6000
沧州公共频道,http://111.226.211.224:8188/rtp/239.254.200.43:6000
沧州影视娱乐,http://111.226.211.224:8188/rtp/239.254.200.44:6000
沧州新闻综合,http://111.226.211.224:8188/rtp/239.254.200.42:6000
廊坊新闻综合,http://111.226.211.224:8188/rtp/239.254.200.183:6000
廊坊生活频道,http://111.226.211.224:8188/rtp/239.254.200.184:6000
衡水新闻综合,http://111.226.211.224:8188/rtp/239.254.200.147:6000
衡水经济科教,http://111.226.211.224:8188/rtp/239.254.200.149:6000
上海乐游频道,http://111.226.211.224:8188/rtp/239.254.201.200:6356

CCTV4K超,http://111.226.211.224:8188/rtp/239.254.201.67:6000
三河综合频道,http://111.226.211.224:8188/rtp/239.254.201.113:5315
东光电视,http://111.226.211.224:8188/rtp/239.254.201.76:5331
中国交通频道,http://111.226.211.224:8188/rtp/239.254.201.110:5181
中式八球国际公开赛,http://111.226.211.224:8188/rtp/239.254.200.187:6000
丰南电视,http://111.226.211.224:8188/rtp/239.254.200.218:5186
丰宁电视,http://111.226.211.224:8188/rtp/239.254.200.5:5290
丰润电视,http://111.226.211.224:8188/rtp/239.254.201.58:5197
临时直播频道2,http://111.226.211.224:8188/rtp/239.254.201.65:6000
临时直播频道3,http://111.226.211.224:8188/rtp/239.254.201.66:6000
临漳电视台,http://111.226.211.224:8188/rtp/239.254.201.73:5221
乐亭电视,http://111.226.211.224:8188/rtp/239.254.201.107:5200
九屏直播频道,http://111.226.211.224:8188/rtp/239.254.200.248:6000
井陉矿区电视台,http://111.226.211.224:8188/rtp/239.254.201.14:5175
井陉综合频道,http://111.226.211.224:8188/rtp/239.254.201.215:6167
任县电视,http://111.226.211.224:8188/rtp/239.254.201.115:5381
兴隆综合频道,http://111.226.211.224:8188/rtp/239.254.201.95:5295
冀州电视,http://111.226.211.224:8188/rtp/239.254.200.179:5346
内丘电视台,http://111.226.211.224:8188/rtp/239.254.201.77:5380
南和电视,http://111.226.211.224:8188/rtp/239.254.201.72:6000
南宫电视,http://111.226.211.224:8188/rtp/239.254.201.48:5371
南皮电视,http://111.226.211.224:8188/rtp/239.254.201.119:5335
