云南电信-组播1,#genre#
禄丰市电视台,http://106.59.2.96:55555/rtp/239.200.200.163:8798
西双版纳勐腊HD,http://106.59.2.96:55555/udp/239.200.201.54:8040

云南电信-组播2,#genre#
云南卫视,http://106.57.0.246:55555/rtp/239.200.200.145:8840
云南卫视,http://106.57.0.246:55555/udp/239.200.200.205:8616
云南卫视,http://106.57.0.246:55555/udp/239.200.201.141:8872

云南4K频道,http://106.57.0.246:55555/rtp/239.200.200.178:8884
云南丽江综合HD,http://106.57.0.246:55555/udp/239.200.201.42:8445
云南娱乐频道,http://106.57.0.246:55555/rtp/239.200.200.13:8848
云南少儿频道,http://106.57.0.246:55555/rtp/239.200.200.32:8864
云南康旅频道,http://106.57.0.246:55555/rtp/239.200.200.31:8860
云南影视频道,http://106.57.0.246:55555/rtp/239.200.200.15:8856
云南怒江HD,http://106.57.0.246:55555/udp/239.200.201.1:8540
云南曲靖1HD,http://106.57.0.246:55555/udp/239.200.201.52:8060
云南曲靖3HD,http://106.57.0.246:55555/udp/239.200.201.50:8068
云南清廉曲靖HD,http://106.57.0.246:55555/udp/239.200.201.51:8064
云南玉溪社会与法HD,http://106.57.0.246:55555/udp/239.200.201.56:8184
云南玉溪综合HD,http://106.57.0.246:55555/udp/239.200.201.57:8180
云南红河1HD,http://106.57.0.246:55555/udp/239.200.201.40:8516
云南都市频道,http://106.57.0.246:55555/rtp/239.200.200.12:8844

凤凰中文,http://106.57.0.246:55555/udp/239.200.200.132:8876
凤凰资讯,http://106.57.0.246:55555/udp/239.200.200.133:8880
星空卫视,http://106.57.0.246:55555/udp/239.200.200.134:8884
CCTV-风云足球,http://106.57.0.246:55555/rtp/239.200.200.88:8020
CCTV-央视文化精品,http://106.57.0.246:55555/rtp/239.200.200.92:8028
CCTV-风云音乐,http://106.57.0.246:55555/rtp/239.200.200.86:8008
CCTV-第一剧场,http://106.57.0.246:55555/rtp/239.200.200.82:8004
CCTV-怀旧剧场,http://106.57.0.246:55555/rtp/239.200.200.85:8032
CCTV-风云剧场,http://106.57.0.246:55555/rtp/239.200.200.84:8016
CCTV-世界地理,http://106.57.0.246:55555/rtp/239.200.200.130:8012
CCTV-电视指南,http://106.57.0.246:55555/rtp/239.200.200.83:8000
CCTV-兵器科技,http://106.57.0.246:55555/rtp/239.200.200.91:8036
CCTV-女性时尚,http://106.57.0.246:55555/rtp/239.200.200.100:8084
CCTV-央视台球,http://106.57.0.246:55555/rtp/239.200.200.135:8076
CGTN英语,http://106.57.0.246:55555/udp/239.200.200.30:8500
CGTN英语,http://106.57.0.246:55555/udp/239.200.201.182:4220
CGTN法语,http://106.57.0.246:55555/rtp/239.200.201.185:4220
CGTN俄语,http://106.57.0.246:55555/udp/239.200.201.187:4220
CETV-1综合教育,http://106.57.0.246:55555/udp/239.200.201.145:8852
CETV-1综合教育,http://106.57.0.246:55555/udp/239.200.201.49:8756
CETV-2空中课堂,http://106.57.0.246:55555/rtp/239.200.201.121:8780
CETV-4职业教育,http://106.57.0.246:55555/rtp/239.200.201.122:8784
CHC家庭影院,http://106.57.0.246:55555/rtp/239.200.201.30:8140
CHC影迷电影,http://106.57.0.246:55555/rtp/239.200.201.34:8148
CHC动作电影,http://106.57.0.246:55555/rtp/239.200.201.31:8144
中国交通,http://106.57.0.246:55555/udp/239.200.201.138:8556
中国天气,http://106.57.0.246:55555/udp/239.200.200.213:8724
华数动画,http://106.57.0.246:55555/rtp/239.200.200.75:9000
IPTV1,http://106.57.0.246:55555/udp/239.200.200.81:1234
IPTV10,http://106.57.0.246:55555/rtp/239.200.200.80:1234
IPTV2,http://106.57.0.246:55555/rtp/239.200.200.79:1234
IPTV3,http://106.57.0.246:55555/udp/239.200.200.76:9004
IPTV4,http://106.57.0.246:55555/rtp/239.200.200.71:8012
IPTV5,http://106.57.0.246:55555/udp/239.200.201.5:4120
IPTV6,http://106.57.0.246:55555/udp/239.200.201.81:4120
IPTV7,http://106.57.0.246:55555/rtp/239.200.200.10:9008
北京四海钓鱼,http://106.57.0.246:55555/udp/239.200.201.171:8636
北京纪实科教,http://106.57.0.246:55555/rtp/239.200.200.147:8728
北京卡酷少儿,http://106.57.0.246:55555/rtp/239.200.200.64:8324
辽宁新动漫,http://106.57.0.246:55555/rtp/239.200.201.32:4120
上海多彩文体4K,http://106.57.0.246:55555/udp/239.200.200.216:8728
江苏财富天下,http://106.57.0.246:55555/udp/239.200.201.178:8684
河南武术世界,http://106.57.0.246:55555/rtp/239.200.200.90:8064
河南文物宝库,http://106.57.0.246:55555/rtp/239.200.200.96:8112
湖北快乐垂钓,http://106.57.0.246:55555/rtp/239.200.200.103:8400
湖南先锋乒羽,http://106.57.0.246:55555/rtp/239.200.201.33:4120
湖南茶频道,http://106.57.0.246:55555/rtp/239.200.201.36:8404
湖南金鹰纪实,http://106.57.0.246:55555/rtp/239.200.201.126:8840
湖南金鹰卡通,http://106.57.0.246:55555/rtp/239.200.200.65:8328
重庆汽摩,http://106.57.0.246:55555/rtp/239.200.200.98:8052

宝山综合HD,http://106.57.0.246:55555/udp/239.200.200.121:8400
宝山腾冲县HD,http://106.57.0.246:55555/udp/239.200.201.72:8262
河南梨园频道,http://106.57.0.246:55555/rtp/239.200.200.101:8048
昆明宜良县HD,http://106.57.0.246:55555/udp/239.200.200.188:8608
昆明影视综艺HD,http://106.57.0.246:55555/udp/239.200.200.114:8516
昆明教育HD,http://106.57.0.246:55555/udp/239.200.201.144:8844
昆明春城民生HD,http://106.57.0.246:55555/udp/239.200.200.115:8520
昆明晋宁区HD,http://106.57.0.246:55555/udp/239.200.200.192:8624
昆明科学教育HD,http://106.57.0.246:55555/udp/239.200.200.112:8508
昆明经济生活HD,http://106.57.0.246:55555/udp/239.200.200.16:8504
昆明综合HD,http://106.57.0.246:55555/udp/239.200.200.17:8500
曲靖会泽HD,http://106.57.0.246:55555/udp/239.200.201.84:8156
曲靖师宗HD,http://106.57.0.246:55555/udp/239.200.201.110:8140
曲靖沾益HD,http://106.57.0.246:55555/udp/239.200.201.188:8108
曲靖罗平县HD,http://106.57.0.246:55555/udp/239.200.201.73:8124
曲靖马龙HD,http://106.57.0.246:55555/udp/239.200.201.152:8164
玉溪元江HD,http://106.57.0.246:55555/udp/239.200.201.150:8540
玉溪华宁HD,http://106.57.0.246:55555/udp/239.200.201.193:8572
玉溪峨山HD,http://106.57.0.246:55555/udp/239.200.201.194:8564
玉溪新平HD,http://106.57.0.246:55555/udp/239.200.201.198:8568
玉溪易门HD,http://106.57.0.246:55555/udp/239.200.201.195:8576
玉溪江川HD,http://106.57.0.246:55555/udp/239.200.201.197:8544
